Model,Train/Test,Class,Precision,Recall,F1-Score,Support,Accuracy,Macro Avg,Weighted Avg,Best params,AUC,Fit Elapsed Time
Logistic Regression,Train,n,0.9107080461230583,0.9794342716589232,0.9438217042779781,29272.0,0.896387370977535,0.6390651333950842,0.8759499919526318,"{'C': 1, 'solver': 'lbfgs'}",0.8617575018560172,3.538001537322998
Logistic Regression,Test,n,0.9029926451940147,0.9801789401238816,0.9400039601346446,7265.0,0.8896308887809616,0.6259444478947258,0.8659505880159071,"{'C': 1, 'solver': 'lbfgs'}",0.8512291413127993,3.538001537322998
Logistic Regression,Train,y,0.5873886223440713,0.23364231188658668,0.3343085625121904,3668.0,0.896387370977535,0.6390651333950842,0.8759499919526318,"{'C': 1, 'solver': 'lbfgs'}",0.8617575018560172,3.538001537322998
Logistic Regression,Test,y,0.5885714285714285,0.2121524201853759,0.31188493565480696,971.0,0.8896308887809616,0.6259444478947258,0.8659505880159071,"{'C': 1, 'solver': 'lbfgs'}",0.8512291413127993,3.538001537322998
SVC with kernel (rbf),Train,n,0.901882345644556,0.9935433178464061,0.9454965132723224,29272.0,0.8982088646023072,0.5883180800711532,0.8659500352527785,"{'C': 0.1, 'gamma': 1}",0.8831262221325467,3955.074142932892
SVC with kernel (rbf),Test,n,0.8945671049367403,0.9927047487955953,0.9410843609316891,7265.0,0.8903593977659058,0.5762190363610411,0.8550512793002906,"{'C': 0.1, 'gamma': 1}",0.8084360423372079,3955.074142932892
SVC with kernel (rbf),Train,y,0.7272727272727273,0.13740458015267176,0.23113964686998395,3668.0,0.8982088646023072,0.5883180800711532,0.8659500352527785,"{'C': 0.1, 'gamma': 1}",0.8831262221325467,3955.074142932892
SVC with kernel (rbf),Test,y,0.6954022988505747,0.12461380020597322,0.211353711790393,971.0,0.8903593977659058,0.5762190363610411,0.8550512793002906,"{'C': 0.1, 'gamma': 1}",0.8084360423372079,3955.074142932892
KNN,Train,n,0.9233873571382449,0.9770770702377699,0.9494738239883146,29272.0,0.9075895567698846,0.704591367088229,0.8949365530769902,{'n_neighbors': 21},0.9237490157371778,9.665144205093384
KNN,Test,n,0.9124548736462094,0.9741225051617344,0.9422808068703815,7265.0,0.8947304516755706,0.6723809272118965,0.878640014459408,{'n_neighbors': 21},0.8734172630510545,9.665144205093384
KNN,Train,y,0.6586978636826043,0.3530534351145038,0.4597089101881434,3668.0,0.9075895567698846,0.704591367088229,0.8949365530769902,{'n_neighbors': 21},0.9237490157371778,9.665144205093384
KNN,Test,y,0.6083333333333333,0.30072090628218334,0.40248104755341146,971.0,0.8947304516755706,0.6723809272118965,0.878640014459408,{'n_neighbors': 21},0.8734172630510545,9.665144205093384
Decision Tree,Train,n,0.9192791982526018,0.9776919923476359,0.9475862525660552,29272.0,0.903885853066181,0.6847135061223264,0.889042401081198,{'max_depth': 5},0.8767910919669549,2.7403721809387207
Decision Tree,Test,n,0.9091259640102828,0.9735719201651755,0.9402459288800266,7265.0,0.8908450704225352,0.6551264682942529,0.8730164494655569,{'max_depth': 5},0.8559096808123821,2.7403721809387207
Decision Tree,Train,y,0.6388274336283186,0.3148854961832061,0.4218407596785975,3668.0,0.903885853066181,0.6847135061223264,0.889042401081198,{'max_depth': 5},0.8767910919669549,2.7403721809387207
Decision Tree,Test,y,0.5789473684210527,0.27188465499485065,0.37000700770847933,971.0,0.8908450704225352,0.6551264682942529,0.8730164494655569,{'max_depth': 5},0.8559096808123821,2.7403721809387207
Random Forest,Train,n,0.9347166645152962,0.9895121617928396,0.9613342183869897,29272.0,0.9292653309046751,0.7733717355280144,0.9194734784278689,"{'max_depth': 10, 'n_estimators': 300}",0.9498359294972765,563.2047414779663
Random Forest,Test,n,0.9104878985785632,0.9786648313833448,0.943346158949184,7265.0,0.8963088878096164,0.6662367418494132,0.8780054003275528,"{'max_depth': 10, 'n_estimators': 300}",0.8925561872414259,563.2047414779663
